parent,annotation,text,study_link,study_data,study_title,free_text,selectable
va,va.funseq2,FUNSEQ 2,https://www.ncbi.nlm.nih.gov/pubmed/25273974,http://archive.gersteinlab.org/funseq2.1.2/hg19_NCscore_funseq216.tsv.bgz,"Fu, Yao et al. “FunSeq2: A Framework for Prioritizing Noncoding Regulatory Variants in Cancer.” Genome Biology 15.10 (2014): 480. PMC. Web. 19 June 2017.",FUNSEQ 2 is an approach developed for prioritizing somatic cancer mutations.,0
va,va.gencode19,GENCODE v19,,,,"These files were obtained from UCSC table browser with these settings: Assembly: Feb. 2009 (GRCh37/hg19), Group: Genes and Gene Predictions, Track: GENCODE Genes V19, Region:  genome, Output: format: BED",0
va,va.gene,Gene-level annotations,,,,"These gene-level annotations can be used to annotate variants in a VDS by specifying a single gene symbol for each variant. 

This gene key is used to map each variant to the appropriate gene-level annotations.

By default, VEP is run and its output is parsed to extract the gene key (see more detailed description on the bottom of this page).",0
va.gene,va.gene.names,Gene names,https://www.ncbi.nlm.nih.gov/pubmed/?term=26555599,ftp://dbnsfp:dbnsfp@dbnsfp.softgenetics.com/dbNSFPv2.9.3.zip,"Liu, Xiaoming et al. ""dbNSFP v3.0: A One-Stop Database of Functional Predictions and Annotations for Human Non-Synonymous and Splice Site SNVs.""",Part of the dbnsfp database contains gene-level annotations. The original file is called dbNSFP2.9_gene. We include here few annotations that allow to exchange gene names across databases.,1
va.gene,va.gene.constraint,Gene constraint scores,https://www.ncbi.nlm.nih.gov/pubmed/27535533,ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3.1/functional_gene_constraint,"Exome Aggregation Consortium et al. “Analysis of Protein-Coding Genetic Variation in 60,706 Humans.” Nature 536.7616 (2016): 285–291.","Detailed description of the content of these scores is provided at: ftp://ftp.broadinstitute.org/pub/ExAC_release/release0.3.1/functional_gene_constraint. 

No TGCA: exclude TGCA samples, No psych: exclude samples with psychiatric disorders",1
va,va.gnomAD,gnomAD,https://www.ncbi.nlm.nih.gov/pubmed/27535533,http://gnomad.broadinstitute.org/downloads,"Exome Aggregation Consortium et al. ""Analysis of Protein-Coding Genetic Variation in 60,706 Humans."" Nature 536.7616 (2016): 285-291.","The Genome Aggregation Database (gnomAD) is a resource developed by an international coalition of investigators, with the goal of aggregating and harmonizing both exome and genome sequencing data from a wide variety of large-scale sequencing projects, and making summary data available for the wider scientific community.

The data set provided on this website spans 123,136 exome sequences and 15,496 whole-genome sequences from unrelated individuals sequenced as part of various disease-specific and population genetic studies. 

The gnomAD Principal Investigators and groups that have contributed data to the current release are listed <a href=\""http://gnomad.broadinstitute.org/about\"" target=\""_blank\"">here</a>.\n\nAll data here are released for the benefit of the wider biomedical community, without restriction on use - see the terms of use <a href=\""http://gnomad.broadinstitute.org/terms\"" target=\""_blank\"">here</a>.",0
va.gnomAD,va.gnomAD.exomes,Exomes,,,,"Annotations generated from 123,136 whole exome sequences in gnomAD.",1
va.gnomAD,va.gnomAD.genomes,Genomes,,,,"Annotations generated from 15,496 whole genome sequences in gnomAD.",1
va,va.isLCR,Low-complexity regions,https://www.ncbi.nlm.nih.gov/pubmed/?term=24974202,https://github.com/lh3/varcmp/blob/master/scripts/LCR-hs37d5.bed.gz,"Li, Heng. “Toward Better Understanding of Artifacts in Variant Calling from High-Coverage Samples.” Bioinformatics 30.20 (2014): 2843–2851.",Regions with repeated sequences normally excluded from WGS studies,1
va,va.ldscore,LD SCORE Annotations,https://www.ncbi.nlm.nih.gov/pubmed/?term=26414678,https://data.broadinstitute.org/alkesgroup/LDSCORE/baseline_bedfiles.tgz,"Finucane, Hilary K. et al. “Partitioning Heritability by Functional Annotation Using Genome-Wide Association Summary Statistics.” Nature genetics 47.11 (2015): 1228–1235. PMC. Web. 19 June 2017.",Set of annotations used for LDSCORE partitioning heritability. Info for each annotation are available in the original publication.,0
va,va.linsight,LINSIGHT,http://www.nature.com/ng/journal/v49/n4/full/ng.3810.html,http://compgen.cshl.edu/~yihuang/tracks/LINSIGHT.bw,"Huang, Yi-Fei, Brad Gulko, and Adam Siepel. ""Fast, scalable prediction of deleterious noncoding variants from functional and population genomic data"" Nature Genetics. Online.",We tranformed the .bw data into .bed format using this program: http://hgdownload.soe.ucsc.edu/admin/exe/linux.x86_64/bigWigToBedGraph,0
va,va.segway,SEGWAY,http://biorxiv.org/content/early/2016/11/07/086025,http://noble.gs.washington.edu/proj/encyclopedia/segway_encyclopedia.bed.gz,A unified encyclopedia of human functional elements through fully automated annotation of 164 human cell types. Biorxiv.,"Data were imported as it is from the website. The sum of functionality score, the average base-wise functionality score and the majority label of each cell type in the segment are reported. Information about the interpretation of each label can be found here: http://noble.gs.washington.edu/proj/encyclopedia/",0
va,va.tfbs,Transcription factor binding sites,,http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRegTfbsClustered/wgEncodeeRegTfbsClusteredV3.bed.gz,,Transcription factor binding sites obtained from V3 of ENCODE and downloaded from UCSC browser. The track is described here: http://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg19&g=wgEncodeRegTfbsClusteredV3,0
va,va.vep,Variant Effect Predictor (VEP),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4893825/,http://grch37.ensembl.org/Homo_sapiens/Tools/VEP,"McLaren, William et al. ""The Ensembl Variant Effect Predictor."" Genome Biology 17 (2016): 122.",Variant Effect Predictor (VEP) with Loss-Of-Function Transcript Effect Estimator (LOFTEE) plug-in.,1
va,va.vista,VISTA,https://www.ncbi.nlm.nih.gov/pubmed/?term=17130149,https://enhancer.lbl.gov/cgi-bin/imagedb3.pl?page_size=20000;show=1;search.result=yes;form=search;search.form=no;action=search;search.sequence=1,"Visel, Axel et al. “VISTA Enhancer Browser—a Database of Tissue-Specific Human Enhancers.” Nucleic Acids Research 35.Database issue (2007): D88–D92.","Validated enhancers from VISTA. We select only positive human elements. 

Once downloaded, 2APR2017, the data were processed as follows: 

'grep \"">Human\"" vista_2APR2017.txt | grep \""positive\"" | awk '{split($0,a,\""|\""); print a[2], a[5]}' > vista_2APR2017_processed.txt'

More info available here: https://enhancer.lbl.gov/aboutproject_n.html.",0
,va,,,,,,0
va,va.targets,Target intervals,,,,,1
va,va.onekg,"1,000 Genomes Phase 3 Sites",,,,,1
va,va.pruned_sets,Pruned variant sets,,,,,1
